email,data,groups
cs564-melanson-lacy@proton.me,"{""first_name"": ""Taylor"", ""last_name"": ""Murray"", ""company"": ""MITRE"", ""job_title"": ""Teaching laboratory technician"", ""phone_number"": ""267-248-5698"", ""department"": ""L534"", ""manager"": ""Regina Warner""}","MITRE,MITRE_L534"
peter.baker@not-actually-mitre.org,"{""first_name"": ""Peter"", ""last_name"": ""Baker"", ""company"": ""MITRE"", ""job_title"": ""Public relations account executive"", ""phone_number"": ""926.350.8541"", ""department"": ""P720"", ""manager"": ""Deanna Shelton""}","MITRE,MITRE_P720"
judy.martinez@not-actually-mitre.org,"{""first_name"": ""Judy"", ""last_name"": ""Martinez"", ""company"": ""MITRE"", ""job_title"": ""Financial manager"", ""phone_number"": ""9116603135"", ""department"": ""P721"", ""manager"": ""Carrie Ward DDS""}","MITRE,MITRE_P721"
pam.brown@not-actually-mitre.org,"{""first_name"": ""Pam"", ""last_name"": ""Brown"", ""company"": ""MITRE"", ""job_title"": ""Aid worker"", ""phone_number"": ""794-200-8212x685"", ""department"": ""L534"", ""manager"": ""Nicole Smith""}","MITRE,MITRE_L534"
jennifer.anderson@not-actually-mitre.org,"{""first_name"": ""Jennifer"", ""last_name"": ""Anderson"", ""company"": ""MITRE"", ""job_title"": ""Engineer, manufacturing"", ""phone_number"": ""727.700.4838x177"", ""department"": ""P723"", ""manager"": ""David Drake""}","MITRE,MITRE_P723"
shelley.alvarez@not-actually-mitre.org,"{""first_name"": ""Shelley"", ""last_name"": ""Alvarez"", ""company"": ""MITRE"", ""job_title"": ""Tour manager"", ""phone_number"": ""(363)307-4793"", ""department"": ""P723"", ""manager"": ""Rhonda Gonzales""}","MITRE,MITRE_P723"
michael.bennett@not-actually-mitre.org,"{""first_name"": ""Michael"", ""last_name"": ""Bennett"", ""company"": ""MITRE"", ""job_title"": ""Radio producer"", ""phone_number"": ""+1-773-992-4760x544"", ""department"": ""L533"", ""manager"": ""Tiffany Bishop""}","MITRE,MITRE_L533"
kristin.griffin@not-actually-mitre.org,"{""first_name"": ""Kristin"", ""last_name"": ""Griffin"", ""company"": ""MITRE"", ""job_title"": ""Chiropractor"", ""phone_number"": ""(621)633-5933x09919"", ""department"": ""L530"", ""manager"": ""John Ruiz""}","MITRE,MITRE_L530"
sean.gibbs@not-actually-mitre.org,"{""first_name"": ""Sean"", ""last_name"": ""Gibbs"", ""company"": ""MITRE"", ""job_title"": ""Equality and diversity officer"", ""phone_number"": ""446.520.9614x75581"", ""department"": ""P720"", ""manager"": ""Benjamin Johnson""}","MITRE,MITRE_P720"
timothy.may@not-actually-mitre.org,"{""first_name"": ""Timothy"", ""last_name"": ""May"", ""company"": ""MITRE"", ""job_title"": ""Television camera operator"", ""phone_number"": ""453.402.5631"", ""department"": ""P720"", ""manager"": ""Jason Morrison""}","MITRE,MITRE_P720"
valerie.lewis@not-actually-mitre.org,"{""first_name"": ""Valerie"", ""last_name"": ""Lewis"", ""company"": ""MITRE"", ""job_title"": ""Film/video editor"", ""phone_number"": ""(670)851-0035"", ""department"": ""L530"", ""manager"": ""Jennifer Williams""}","MITRE,MITRE_L530"
justin.higgins@not-actually-mitre.org,"{""first_name"": ""Justin"", ""last_name"": ""Higgins"", ""company"": ""MITRE"", ""job_title"": ""Press photographer"", ""phone_number"": ""955.423.9516x8122"", ""department"": ""P722"", ""manager"": ""Patricia Clark""}","MITRE,MITRE_P722"
vickie.ward@not-actually-mitre.org,"{""first_name"": ""Vickie"", ""last_name"": ""Ward"", ""company"": ""MITRE"", ""job_title"": ""Electronics engineer"", ""phone_number"": ""+1-610-829-0075x861"", ""department"": ""P723"", ""manager"": ""William Bauer""}","MITRE,MITRE_P723"
mary.robinson@not-actually-mitre.org,"{""first_name"": ""Mary"", ""last_name"": ""Robinson"", ""company"": ""MITRE"", ""job_title"": ""Therapeutic radiographer"", ""phone_number"": ""+1-497-976-5965x96184"", ""department"": ""P723"", ""manager"": ""Lisa Rowe""}","MITRE,MITRE_P723"
mary.brown@not-actually-mitre.org,"{""first_name"": ""Mary"", ""last_name"": ""Brown"", ""company"": ""MITRE"", ""job_title"": ""Surveyor, planning and development"", ""phone_number"": ""001-791-461-4741x8086"", ""department"": ""P724"", ""manager"": ""Robert Garcia""}","MITRE,MITRE_P724"
bruce.lee@not-actually-mitre.org,"{""first_name"": ""Bruce"", ""last_name"": ""Lee"", ""company"": ""MITRE"", ""job_title"": ""Dancer"", ""phone_number"": ""961.399.4357x327"", ""department"": ""P723"", ""manager"": ""Brandon Wallace""}","MITRE,MITRE_P723"
david.soto@not-actually-mitre.org,"{""first_name"": ""David"", ""last_name"": ""Soto"", ""company"": ""MITRE"", ""job_title"": ""Quarry manager"", ""phone_number"": ""684-604-8041x4976"", ""department"": ""P720"", ""manager"": ""Amy Smith""}","MITRE,MITRE_P720"
john.gonzalez@not-actually-mitre.org,"{""first_name"": ""John"", ""last_name"": ""Gonzalez"", ""company"": ""MITRE"", ""job_title"": ""Air traffic controller"", ""phone_number"": ""820-303-5298"", ""department"": ""P724"", ""manager"": ""Erica Shea""}","MITRE,MITRE_P724"
steven.carr@not-actually-mitre.org,"{""first_name"": ""Steven"", ""last_name"": ""Carr"", ""company"": ""MITRE"", ""job_title"": ""Comptroller"", ""phone_number"": ""243.292.0832x23147"", ""department"": ""L532"", ""manager"": ""Amber Arnold""}","MITRE,MITRE_L532"
karen.dunn@not-actually-mitre.org,"{""first_name"": ""Karen"", ""last_name"": ""Dunn"", ""company"": ""MITRE"", ""job_title"": ""Chief Marketing Officer"", ""phone_number"": ""533.322.1513"", ""department"": ""L534"", ""manager"": ""Craig Wallace""}","MITRE,MITRE_L534"
nathan.rogers@not-actually-mitre.org,"{""first_name"": ""Nathan"", ""last_name"": ""Rogers"", ""company"": ""MITRE"", ""job_title"": ""Immunologist"", ""phone_number"": ""560-940-2234x1273"", ""department"": ""P723"", ""manager"": ""Christina Grant""}","MITRE,MITRE_P723"
kirsten.miles@not-actually-mitre.org,"{""first_name"": ""Kirsten"", ""last_name"": ""Miles"", ""company"": ""MITRE"", ""job_title"": ""Geophysical data processor"", ""phone_number"": ""404-966-2282x4768"", ""department"": ""P722"", ""manager"": ""Marissa Baker""}","MITRE,MITRE_P722"
jacob.edwards@not-actually-mitre.org,"{""first_name"": ""Jacob"", ""last_name"": ""Edwards"", ""company"": ""MITRE"", ""job_title"": ""Fish farm manager"", ""phone_number"": ""(528)624-4639x773"", ""department"": ""P721"", ""manager"": ""Timothy Mendez""}","MITRE,MITRE_P721"
gregory.baker@not-actually-mitre.org,"{""first_name"": ""Gregory"", ""last_name"": ""Baker"", ""company"": ""MITRE"", ""job_title"": ""Research scientist (physical sciences)"", ""phone_number"": ""(333)969-9437x98649"", ""department"": ""L533"", ""manager"": ""Michelle Stone""}","MITRE,MITRE_L533"
hannah.mcdowell@not-actually-mitre.org,"{""first_name"": ""Hannah"", ""last_name"": ""Mcdowell"", ""company"": ""MITRE"", ""job_title"": ""Medical physicist"", ""phone_number"": ""404-762-6806x4970"", ""department"": ""L532"", ""manager"": ""Danielle Luna""}","MITRE,MITRE_L532"
sandra.reyes@not-actually-mitre.org,"{""first_name"": ""Sandra"", ""last_name"": ""Reyes"", ""company"": ""MITRE"", ""job_title"": ""Rural practice surveyor"", ""phone_number"": ""826.223.4736x95520"", ""department"": ""P720"", ""manager"": ""Jorge Hicks""}","MITRE,MITRE_P720"
christine.rice@not-actually-mitre.org,"{""first_name"": ""Christine"", ""last_name"": ""Rice"", ""company"": ""MITRE"", ""job_title"": ""Engineer, technical sales"", ""phone_number"": ""+1-748-486-2428x79757"", ""department"": ""L534"", ""manager"": ""Thomas Christensen""}","MITRE,MITRE_L534"
brandy.mendez@not-actually-mitre.org,"{""first_name"": ""Brandy"", ""last_name"": ""Mendez"", ""company"": ""MITRE"", ""job_title"": ""Interior and spatial designer"", ""phone_number"": ""001-573-506-4326x3667"", ""department"": ""P721"", ""manager"": ""Scott Flores""}","MITRE,MITRE_P721"
sheila.cox@not-actually-mitre.org,"{""first_name"": ""Sheila"", ""last_name"": ""Cox"", ""company"": ""MITRE"", ""job_title"": ""Event organiser"", ""phone_number"": ""547.540.2544"", ""department"": ""L530"", ""manager"": ""Joshua Garcia""}","MITRE,MITRE_L530"
michael.bender@not-actually-mitre.org,"{""first_name"": ""Michael"", ""last_name"": ""Bender"", ""company"": ""MITRE"", ""job_title"": ""Environmental education officer"", ""phone_number"": ""001-377-914-0486x77698"", ""department"": ""L531"", ""manager"": ""Laura Brown""}","MITRE,MITRE_L531"
lindsey.campbell@not-actually-mitre.org,"{""first_name"": ""Lindsey"", ""last_name"": ""Campbell"", ""company"": ""MITRE"", ""job_title"": ""Dentist"", ""phone_number"": ""001-290-675-1509x46623"", ""department"": ""P722"", ""manager"": ""Luke Davis""}","MITRE,MITRE_P722"
melissa.howard@not-actually-mitre.org,"{""first_name"": ""Melissa"", ""last_name"": ""Howard"", ""company"": ""MITRE"", ""job_title"": ""Counsellor"", ""phone_number"": ""499-809-1577"", ""department"": ""L532"", ""manager"": ""Lisa Moran""}","MITRE,MITRE_L532"
jason.lawrence@not-actually-mitre.org,"{""first_name"": ""Jason"", ""last_name"": ""Lawrence"", ""company"": ""MITRE"", ""job_title"": ""Volunteer coordinator"", ""phone_number"": ""855-857-1311"", ""department"": ""P721"", ""manager"": ""Christopher Morrison""}","MITRE,MITRE_P721"
stacy.morales@not-actually-mitre.org,"{""first_name"": ""Stacy"", ""last_name"": ""Morales"", ""company"": ""MITRE"", ""job_title"": ""Pension scheme manager"", ""phone_number"": ""864-542-0224x87941"", ""department"": ""L530"", ""manager"": ""Lynn Vasquez""}","MITRE,MITRE_L530"
shari.evans@not-actually-mitre.org,"{""first_name"": ""Shari"", ""last_name"": ""Evans"", ""company"": ""MITRE"", ""job_title"": ""Educational psychologist"", ""phone_number"": ""256.610.8272x133"", ""department"": ""P720"", ""manager"": ""Shannon Benson""}","MITRE,MITRE_P720"
isaiah.jones@not-actually-mitre.org,"{""first_name"": ""Isaiah"", ""last_name"": ""Jones"", ""company"": ""MITRE"", ""job_title"": ""Psychologist, prison and probation services"", ""phone_number"": ""001-985-756-1825x796"", ""department"": ""L530"", ""manager"": ""Christina Lucero""}","MITRE,MITRE_L530"
megan.small@not-actually-mitre.org,"{""first_name"": ""Megan"", ""last_name"": ""Small"", ""company"": ""MITRE"", ""job_title"": ""Site engineer"", ""phone_number"": ""001-995-415-0658"", ""department"": ""L534"", ""manager"": ""Anna Taylor""}","MITRE,MITRE_L534"
brian.hill@not-actually-mitre.org,"{""first_name"": ""Brian"", ""last_name"": ""Hill"", ""company"": ""MITRE"", ""job_title"": ""Systems developer"", ""phone_number"": ""(349)614-6681x018"", ""department"": ""L533"", ""manager"": ""Savannah Atkinson""}","MITRE,MITRE_L533"
latasha.thompson@not-actually-mitre.org,"{""first_name"": ""Latasha"", ""last_name"": ""Thompson"", ""company"": ""MITRE"", ""job_title"": ""Engineer, electronics"", ""phone_number"": ""405.656.1410"", ""department"": ""P723"", ""manager"": ""Jennifer Martinez""}","MITRE,MITRE_P723"
ashley.torres@not-actually-mitre.org,"{""first_name"": ""Ashley"", ""last_name"": ""Torres"", ""company"": ""MITRE"", ""job_title"": ""Gaffer"", ""phone_number"": ""001-253-330-5339x73476"", ""department"": ""P721"", ""manager"": ""Jason Oneal""}","MITRE,MITRE_P721"
barbara.newman@not-actually-mitre.org,"{""first_name"": ""Barbara"", ""last_name"": ""Newman"", ""company"": ""MITRE"", ""job_title"": ""Dancer"", ""phone_number"": ""001-229-452-6787x8804"", ""department"": ""P722"", ""manager"": ""David Rogers""}","MITRE,MITRE_P722"
diana.taylor@not-actually-mitre.org,"{""first_name"": ""Diana"", ""last_name"": ""Taylor"", ""company"": ""MITRE"", ""job_title"": ""Civil Service administrator"", ""phone_number"": ""001-920-209-9153x856"", ""department"": ""L533"", ""manager"": ""Sarah Smith""}","MITRE,MITRE_L533"
christopher.reid@not-actually-mitre.org,"{""first_name"": ""Christopher"", ""last_name"": ""Reid"", ""company"": ""MITRE"", ""job_title"": ""Child psychotherapist"", ""phone_number"": ""(547)467-0353"", ""department"": ""P720"", ""manager"": ""Jonathan Gregory""}","MITRE,MITRE_P720"
